clr_ratio,sensattr,arch,fair_coeff,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.001, 0.001)",bck,laftr-dp,0.1,"(0.5, 0.5)",0.9113247863247863,0.9776308760683762,0.8613782051282052,0.8943666726379104,0.8673995082088165
"(0.001, 0.001)",bck,laftr-dp,0.5,"(0.5, 0.5)",0.8874198717948718,0.9763621794871794,0.8383413461538461,0.9620683513895832,0.7582384933967177
"(0.001, 0.001)",bck,laftr-dp,1.0,"(0.5, 0.5)",0.7868589743589745,0.9752938034188033,0.743656517094017,0.9342791304621013,0.5798559974628597
"(0.001, 0.001)",bck,laftr-dp,2.0,"(0.5, 0.5)",0.8966346153846154,0.9740918803418804,0.8104300213675213,0.9370445236310405,0.7289806069535706
"(0.001, 0.001)",bck,laftr-dp,4.0,"(0.5, 0.5)",0.882946047008547,0.9779647435897436,0.8217147435897436,0.8228558294213366,0.8592767498174778
"(0.001, 0.001)",bck,laftr-eqodd,0.1,"(0.5, 0.5)",0.937099358974359,0.977630876068376,0.8408119658119658,0.8948953461542382,0.8305668152171161
"(0.001, 0.001)",bck,laftr-eqodd,0.5,"(0.5, 0.5)",0.8494257478632479,0.9754273504273504,0.7841880341880342,0.9442947992549054,0.6531320028763067
"(0.001, 0.001)",bck,laftr-eqodd,1.0,"(0.5, 0.5)",0.8033520299145299,0.9732238247863249,0.7694310897435898,0.9403365097436339,0.6322733284220285
"(0.001, 0.001)",bck,laftr-eqodd,2.0,"(0.5, 0.5)",0.8802751068376069,0.9772970085470085,0.844017094017094,0.9868211325430902,0.7432031837587778
"(0.001, 0.001)",bck,laftr-eqodd,4.0,"(0.5, 0.5)",0.9139957264957266,0.9765625,0.8319978632478633,0.9424373159863505,0.7659578861127904
"(0.001, 0.001)",bck,laftr-eqopp0,0.1,"(0.5, 0.5)",0.8943643162393163,0.9758279914529915,0.8277911324786325,0.9575908549676483,0.7425278243030297
"(0.001, 0.001)",bck,laftr-eqopp0,0.5,"(0.5, 0.5)",0.8421474358974358,0.9730235042735043,0.7973424145299145,0.959968065290035,0.6615305541515392
"(0.001, 0.001)",bck,laftr-eqopp0,1.0,"(0.5, 0.5)",0.88795405982906,0.976161858974359,0.8157051282051282,0.9421743836147413,0.7339933862564957
"(0.001, 0.001)",bck,laftr-eqopp0,2.0,"(0.5, 0.5)",0.9400373931623932,0.9778311965811967,0.88548344017094,0.9324301775415079,0.8821719639382497
"(0.001, 0.001)",bck,laftr-eqopp0,4.0,"(0.5, 0.5)",0.9468482905982906,0.9772302350427351,0.8830128205128206,0.9294000314998702,0.8814941268063636
"(0.001, 0.001)",bck,laftr-eqopp1,0.1,"(0.5, 0.5)",0.9137286324786325,0.9732238247863249,0.8380074786324787,0.9012147215496772,0.8273173704918682
"(0.001, 0.001)",bck,laftr-eqopp1,0.5,"(0.5, 0.5)",0.8448183760683761,0.974959935897436,0.8074252136752137,0.9754989681399827,0.6745320770964719
"(0.001, 0.001)",bck,laftr-eqopp1,1.0,"(0.5, 0.5)",0.8925614316239318,0.9767628205128206,0.8421474358974358,0.9625941641184852,0.7543108261232958
"(0.001, 0.001)",bck,laftr-eqopp1,2.0,"(0.5, 0.5)",0.906917735042735,0.975360576923077,0.8537660256410257,0.9628579807334811,0.7820762705798533
"(0.001, 0.001)",bck,laftr-eqopp1,4.0,"(0.5, 0.5)",0.8847489316239315,0.9780982905982906,0.8434161324786325,0.9375716887321802,0.7861394392082888
"(0.01, 0.01)",bck,laftr-dp,0.1,"(0.5, 0.5)",0.9680822649572649,0.9743589743589743,0.9170005341880342,0.9750990820721421,0.9092619938795893
"(0.01, 0.01)",bck,laftr-dp,0.5,"(0.5, 0.5)",0.9835069444444445,0.9747596153846153,0.9252136752136751,0.9652222394909753,0.9352680680402904
"(0.01, 0.01)",bck,laftr-dp,1.0,"(0.5, 0.5)",0.9556623931623932,0.9771634615384616,0.9168669871794872,0.98155889612304,0.893682861859094
"(0.01, 0.01)",bck,laftr-dp,2.0,"(0.5, 0.5)",0.9720886752136751,0.9744257478632479,0.9313568376068376,0.9729916179968704,0.9404143114978488
"(0.01, 0.01)",bck,laftr-dp,4.0,"(0.5, 0.5)",0.915264423076923,0.9752270299145299,0.8739983974358974,0.9815599364093767,0.8112000872142001
"(0.01, 0.01)",bck,laftr-eqodd,0.1,"(0.5, 0.5)",0.9730235042735043,0.9744925213675213,0.9322248931623932,0.985108041018074,0.9295785527948737
"(0.01, 0.01)",bck,laftr-eqodd,0.5,"(0.5, 0.5)",0.9680154914529915,0.9754273504273505,0.9196047008547009,0.9766803173039773,0.9107519031305712
"(0.01, 0.01)",bck,laftr-eqodd,1.0,"(0.5, 0.5)",0.9022435897435898,0.9747596153846154,0.8810763888888888,0.9863021336896939,0.8056445867181141
"(0.01, 0.01)",bck,laftr-eqodd,2.0,"(0.5, 0.5)",0.9391693376068376,0.9740251068376068,0.8914930555555557,0.9685204153072724,0.8644306465413293
"(0.01, 0.01)",bck,laftr-eqodd,4.0,"(0.5, 0.5)",0.9581330128205129,0.9761618589743589,0.9132612179487177,0.9794449822724806,0.8935485167529449
"(0.01, 0.01)",bck,laftr-eqopp0,0.1,"(0.5, 0.5)",0.9165998931623931,0.9732238247863249,0.8789396367521367,0.9889341101359467,0.8195974271810983
"(0.01, 0.01)",bck,laftr-eqopp0,0.5,"(0.5, 0.5)",0.9877804487179488,0.9744925213675213,0.9229433760683761,0.9462562591428165,0.9507079546618303
"(0.01, 0.01)",bck,laftr-eqopp0,1.0,"(0.5, 0.5)",0.9743589743589743,0.9766292735042734,0.9218082264957265,0.9714129314665603,0.9182011190286629
"(0.01, 0.01)",bck,laftr-eqopp0,2.0,"(0.5, 0.5)",0.9668135683760685,0.9724893162393163,0.920806623931624,0.9819470789695922,0.9137328228219298
"(0.01, 0.01)",bck,laftr-eqopp0,4.0,"(0.5, 0.5)",0.9292200854700855,0.9780982905982906,0.8886885683760685,0.9755038574857653,0.8373383591617305
"(0.01, 0.01)",bck,laftr-eqopp1,0.1,"(0.5, 0.5)",0.9513221153846153,0.9720886752136751,0.9022435897435898,0.9793135941081511,0.8796012372964038
"(0.01, 0.01)",bck,laftr-eqopp1,0.5,"(0.5, 0.5)",0.9350293803418802,0.969417735042735,0.8922275641025642,0.9881349621720679,0.8556267474499206
"(0.01, 0.01)",bck,laftr-eqopp1,1.0,"(0.5, 0.5)",0.9349626068376069,0.9735576923076924,0.9051148504273504,0.9274314456505525,0.9238834214835444
"(0.01, 0.01)",bck,laftr-eqopp1,2.0,"(0.5, 0.5)",0.9885817307692308,0.9746260683760685,0.9345619658119659,0.9719391082956802,0.9475939562321263
"(0.01, 0.01)",bck,laftr-eqopp1,4.0,"(0.5, 0.5)",0.951655982905983,0.9738247863247862,0.9119257478632479,0.9754926744076454,0.8996441506471139
"(0.01, 0.99)",bck,laftr-dp,0.1,"(0.5, 0.5)",0.25874732905982906,0.6211939102564102,0.6344150641025641,0.25605644302382935,0.26141190099426387
"(0.01, 0.99)",bck,laftr-dp,0.5,"(0.5, 0.5)",0.22656249999999997,0.5947516025641025,0.6296073717948718,0.20300199589336562,0.25071147846789316
"(0.01, 0.99)",bck,laftr-dp,1.0,"(0.5, 0.5)",0.24639423076923073,0.6146501068376068,0.6294070512820512,0.24236497447449415,0.25044047575786593
"(0.01, 0.99)",bck,laftr-dp,2.0,"(0.5, 0.5)",0.17287660256410253,0.5742521367521367,0.5970886752136751,0.16192764225967662,0.18407173588192605
"(0.01, 0.99)",bck,laftr-dp,4.0,"(0.5, 0.5)",0.30108173076923084,0.6519097222222222,0.6456330128205129,0.3170094202088936,0.2845735478890749
"(0.01, 0.99)",bck,laftr-eqodd,0.1,"(0.5, 0.5)",0.3016159188034187,0.6568509615384616,0.6417601495726496,0.3262247447085315,0.2761757123869491
"(0.01, 0.99)",bck,laftr-eqodd,0.5,"(0.5, 0.5)",0.16740117521367517,0.576388888888889,0.5888087606837606,0.1667986790027981,0.16795384695009066
"(0.01, 0.99)",bck,laftr-eqodd,1.0,"(0.5, 0.5)",0.2580128205128205,0.6261351495726496,0.6290064102564102,0.2655349599666608,0.2501699135235968
