table_type,clr_ratio,sensattr,arch,g_y_ratio,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.001, 0.001)",bck,ffvae,"(0.5, 0.5)",0.8236511752136751,0.9200721153846154,0.5110176282051282,0.6762393815372892,0.8302751101464692,0.2471566577602869,0.004249439790784721,0.0220015403477812,0.4682004487305616,0.1742818312659567
4,"(0.01, 0.01)",bck,ffvae,"(0.5, 0.5)",0.9718215811965812,0.9188701923076922,0.7858573717948718,0.9826075047504674,0.8127055232356467,0.030006203016756328,0.006229291588728432,0.007042626534954723,0.012323505966370562,0.06139714012704603
4,"(0.01, 0.99)",bck,ffvae,"(0.5, 0.5)",0.026976495726495704,0.49298878205128216,0.5333199786324786,0.000921745708662769,0.05404307192198288,0.009767208602150888,0.00020032051282048435,0.009312929151501649,0.0006033731353109996,0.019351289556750403
4,"(0.1, 0.1)",bck,ffvae,"(0.5, 0.5)",0.9674145299145299,0.9145966880341881,0.8684561965811964,0.9924763371268416,0.9199797050794564,0.028657271265587023,0.013670804869909688,0.016885644892164528,0.005392999173962268,0.03374996203123218
4,"(0.1, 0.9)",bck,ffvae,"(0.5, 0.5)",0.4495192307692308,0.7234241452991453,0.7053952991452991,0.47512467311602585,0.42787655446647926,0.010951872542337097,0.010917621097882925,0.019322710793289517,0.02157035490863938,0.05555698509544358
4,"(0.5, 0.5)",bck,ffvae,"(0.5, 0.5)",0.984642094017094,0.9236778846153846,0.8985042735042734,0.99788083270344,0.9584461226570818,0.006027395350639328,0.0013135894479771844,0.0018176626053440271,0.0012938999156485707,0.006771008022084145
4,"(0.5, 0.5)",bck,ffvae,"(0.75, 0.25)",0.9833066239316239,0.927417200854701,0.8990384615384617,0.9950897444619837,0.9585799722280034,0.011476693011848893,0.00849258178182945,0.004537160117350194,0.004438259668446662,0.011841185824780793
4,"(0.5, 0.5)",bck,ffvae,"(0.9, 0.1)",0.9799011752136751,0.9135950854700855,0.8878205128205128,0.9937581779509644,0.9533008152105089,0.006448744299639383,0.006211012796064778,0.0076986694112882925,0.0025817344139067895,0.008790431699516472
4,"(0.5, 0.5)",color_gy,ffvae,"(0.5, 0.5)",0.9982650792924025,0.8974564390146206,0.9066987243705337,0.9963468253311882,0.9969742619002785,0.0013381500856431382,0.007415785532374767,0.006536590253451944,0.0038446236742679207,0.0008479191463921981
4,"(0.5, 0.5)",color_gy,ffvae,"(0.75, 0.25)",0.7964055708847928,0.8616062487482475,0.8553396113003405,0.8051582093961812,0.7868216810977536,0.041067024051686864,0.022059955638717186,0.025131487892766792,0.03648313680584018,0.04672188839025325
4,"(0.5, 0.5)",color_gy,ffvae,"(0.9, 0.1)",0.5408007328606406,0.7505841511449362,0.765511253589795,0.5323268559884363,0.5491022553459993,0.0557078401908501,0.032604721125497275,0.0275671304119786,0.06381963835185264,0.05528643368436039
