clr_ratio,sensattr,arch,fair_coeff,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.5, 0.5)",age,laftr-eqodd,0.1,0.9648547165569141,0.6929437706725469,0.742457288258815,0.9906384503131931,0.9160305343511451
"(0.5, 0.5)",age,laftr-eqodd,0.5,0.9632727519751262,0.6902793090775451,0.7404580152671757,0.9915634205378646,0.9138495092693567
"(0.5, 0.5)",age,laftr-eqodd,1.0,0.9586420814401659,0.6919331128261668,0.7436386768447837,0.9946815731747692,0.9076699382042893
"(0.5, 0.5)",age,laftr-eqodd,2.0,0.9622240203722651,0.6879823594266813,0.7380952380952381,0.9914604884734324,0.9129407488186114
"(0.5, 0.5)",age,laftr-eqodd,4.0,0.9606223175535648,0.6892686512311651,0.7406397673573246,0.9930255421460199,0.9100327153762268
"(0.5, 0.5)",age,laftr-eqopp0,0.1,0.9594289056760757,0.6887173833149577,0.7416394038531443,0.9926741952961667,0.9073064340239912
"(0.5, 0.5)",age,laftr-eqopp0,0.5,0.9593891286199625,0.6911980889378905,0.745456197746274,0.9913533013433445,0.905852417302799
"(0.5, 0.5)",age,laftr-eqopp0,1.0,0.9525971712401264,0.6883498713708196,0.7455470737913487,0.9952430392191428,0.8962195565249002
"(0.5, 0.5)",age,laftr-eqopp0,2.0,0.9617519057919002,0.6928518926865124,0.7416394038531443,0.9929550296294405,0.9136677571792076
"(0.5, 0.5)",age,laftr-eqopp0,4.0,0.9600890845746379,0.6912899669239251,0.742820792439113,0.993409308543726,0.9093057070156307
"(0.5, 0.5)",age,laftr-eqopp1,0.1,0.9579768928368034,0.6894524072032341,0.7421846601235914,0.9943221214379528,0.906034169392948
"(0.5, 0.5)",age,laftr-eqopp1,0.5,0.9595548496547512,0.690095553105476,0.7429116684841875,0.992633670861351,0.9074881861141403
"(0.5, 0.5)",age,laftr-eqopp1,1.0,0.9607572790008806,0.6927600147004777,0.7429116684841875,0.9941038973564695,0.91130498000727
"(0.5, 0.5)",age,laftr-eqopp1,2.0,0.9623392435826684,0.6950569643513415,0.7478189749182116,0.9898992846221523,0.9102144674663758
"(0.5, 0.5)",age,laftr-eqopp1,4.0,0.9614104443127226,0.6935869165747887,0.7438204289349327,0.9929266625250696,0.9118502362777171
"(0.5, 0.5)",sex,laftr-dp,0.1,0.9350276850809364,0.6826741996233522,0.7112507480550568,0.9399624343044718,0.9108318372232196
"(0.5, 0.5)",sex,laftr-dp,0.5,0.9294512234292535,0.6811048336472064,0.7103530819868342,0.934928394096142,0.9048473967684022
"(0.5, 0.5)",sex,laftr-dp,1.0,0.9385157911464092,0.6792215944758317,0.706163973668462,0.9418810103631549,0.9162178336325554
"(0.5, 0.5)",sex,laftr-dp,2.0,0.9370343322051929,0.6826741996233521,0.7085577498503891,0.9391791243756332,0.9156193895870736
"(0.5, 0.5)",sex,laftr-dp,4.0,0.9419035930310007,0.6889516635279347,0.7112507480550568,0.9405608783499536,0.9233991621783364
"(0.5, 0.5)",sex,laftr-eqodd,0.1,0.9308740776805164,0.6770244821092278,0.7103530819868342,0.9405608783499534,0.9024536205864752
"(0.5, 0.5)",sex,laftr-eqodd,0.5,0.9273566692700673,0.6773383553044571,0.7130460801915021,0.9394872341812278,0.8964691801316577
"(0.5, 0.5)",sex,laftr-eqodd,1.0,0.9363772834697582,0.6795354676710609,0.7103530819868342,0.9435530985773622,0.9102333931777379
"(0.5, 0.5)",sex,laftr-eqodd,2.0,0.9357348859068119,0.6785938480853736,0.7064631956912027,0.9399624343044718,0.9126271693596647
"(0.5, 0.5)",sex,laftr-eqodd,4.0,0.939785935099814,0.6820464532328939,0.7082585278276481,0.9423562104863988,0.9180131657690006
"(0.5, 0.5)",sex,laftr-eqopp0,0.1,0.9309912870604226,0.6795354676710609,0.7091561938958707,0.9369702140770629,0.9060442848593656
"(0.5, 0.5)",sex,laftr-eqopp0,0.5,0.9354294653110952,0.684871311989956,0.7124476361460204,0.93936399025899,0.9120287253141832
"(0.5, 0.5)",sex,laftr-eqopp0,1.0,0.9319182554736217,0.6807909604519774,0.7100538599640934,0.9375070361614258,0.907241172950329
"(0.5, 0.5)",sex,laftr-eqopp0,2.0,0.9385450934913857,0.6804770872567483,0.7085577498503889,0.9430162764929994,0.9150209455415919
"(0.5, 0.5)",sex,laftr-eqopp0,4.0,0.9284509991536131,0.6776522284996861,0.710951526032316,0.9380438582457886,0.9000598444045482
"(0.5, 0.5)",sex,laftr-eqopp1,0.1,0.9266410158446794,0.6760828625235406,0.7094554159186116,0.9363717700315813,0.8982645122681028
"(0.5, 0.5)",sex,laftr-eqopp1,0.5,0.9280785212684308,0.6767106089139988,0.7115499700777977,0.9391791243756332,0.8982645122681031
"(0.5, 0.5)",sex,laftr-eqopp1,1.0,0.9235608885823412,0.6741996233521657,0.7112507480550568,0.9369702140770629,0.8916816277678037
"(0.5, 0.5)",sex,laftr-eqopp1,2.0,0.9294658746017417,0.6789077212806026,0.7118491921005387,0.9387655462135083,0.9012567324955117
"(0.5, 0.5)",sex,laftr-eqopp1,4.0,0.9324580948291504,0.6795354676710609,0.7124476361460204,0.9416961444797982,0.9042489527229205
"(0.66, 0.33)",age,laftr-dp,0.1,0.8794980625394251,0.724320987654321,0.6712895377128953,0.9387190604247847,0.8270072992700731
"(0.66, 0.33)",age,laftr-dp,0.5,0.8742236640533477,0.7267901234567901,0.6680048661800487,0.939191043301685,0.816058394160584
"(0.66, 0.33)",age,laftr-dp,1.0,0.8749049292601603,0.7279012345679012,0.6715328467153284,0.9374220222088067,0.8192214111922141
"(0.66, 0.33)",age,laftr-dp,2.0,0.8780769577363251,0.7285185185185186,0.6731143552311436,0.9396483910506194,0.8233576642335767
"(0.66, 0.33)",age,laftr-dp,4.0,0.8742398846535099,0.7244444444444444,0.6671532846715328,0.9376946014671717,0.8175182481751825
"(0.66, 0.33)",age,laftr-eqodd,0.1,0.8798540145985402,0.7249382716049383,0.670316301703163,0.9406655324442493,0.8257907542579076
"(0.66, 0.33)",age,laftr-eqodd,0.5,0.8814823826259349,0.7237037037037037,0.6699513381995134,0.9414539999634121,0.8282238442822384
"(0.66, 0.33)",age,laftr-eqodd,1.0,0.8754744525547444,0.7239506172839506,0.6681265206812652,0.9374732451566873,0.8201946472019465
"(0.66, 0.33)",age,laftr-eqodd,2.0,0.8719473731639181,0.7260493827160494,0.6697080291970803,0.9343705980279164,0.816301703163017
"(0.66, 0.33)",age,laftr-eqodd,4.0,0.8782977381274218,0.7244444444444444,0.6684914841849148,0.940458811261731,0.8228710462287104
"(0.66, 0.33)",age,laftr-eqopp0,0.1,0.8836631522032982,0.7220987654320986,0.6712895377128953,0.9406582148802665,0.8333333333333334
"(0.66, 0.33)",age,laftr-eqopp0,0.5,0.8784662521402181,0.7227160493827162,0.6652068126520682,0.9422058796626603,0.821411192214112
"(0.66, 0.33)",age,laftr-eqopp0,1.0,0.8764404794088492,0.7241975308641976,0.6688564476885644,0.9379525455975705,0.8216545012165449
"(0.66, 0.33)",age,laftr-eqopp0,2.0,0.8785464539965756,0.7240740740740742,0.6678832116788321,0.9409454292665972,0.8228710462287104
"(0.66, 0.33)",age,laftr-eqopp0,4.0,0.8800919167342526,0.7228395061728395,0.6718978102189781,0.9371860307703566,0.829683698296837
"(0.66, 0.33)",age,laftr-eqopp1,0.1,0.8853681175092367,0.7224691358024691,0.6736009732360096,0.9404295410057992,0.8369829683698297
"(0.66, 0.33)",age,laftr-eqopp1,0.5,0.8809705325763719,0.7249382716049383,0.6714111922141118,0.940709437828147,0.8279805352798054
"(0.66, 0.33)",age,laftr-eqopp1,1.0,0.8833946111561684,0.724320987654321,0.6734793187347932,0.9404295410057992,0.8330900243309003
"(0.66, 0.33)",age,laftr-eqopp1,2.0,0.8803226097143373,0.7239506172839506,0.6734793187347932,0.9369500393319065,0.8304136253041362
"(0.66, 0.33)",age,laftr-eqopp1,4.0,0.878367126250338,0.7262962962962963,0.6726277372262773,0.9382178072919524,0.8253041362530413
