table_type,clr_ratio,sensattr,arch,g_y_ratio,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.001, 0.001)",bck,laftr-dp,"(0.5, 0.5)",0.9113247863247863,0.9779647435897436,0.8613782051282052,0.9620683513895832,0.8673995082088165,0.027862799929257363,0.003945856491104213,0.015926425649279586,0.040529679060791746,0.11055651252812651
4,"(0.001, 0.001)",bck,laftr-eqodd,"(0.5, 0.5)",0.937099358974359,0.977630876068376,0.844017094017094,0.9868211325430902,0.8305668152171161,0.05535809438915343,0.0030003528230049506,0.06860365852542073,0.013022283545437992,0.1139046613001821
4,"(0.001, 0.001)",bck,laftr-eqopp0,"(0.5, 0.5)",0.9468482905982906,0.9778311965811967,0.88548344017094,0.959968065290035,0.8821719639382497,0.01567158639657957,0.003562852983962056,0.03880448427844933,0.04026029669901975,0.09899108332533772
4,"(0.001, 0.001)",bck,laftr-eqopp1,"(0.5, 0.5)",0.9137286324786325,0.9780982905982906,0.8537660256410257,0.9754989681399827,0.8273173704918682,0.038778622780129716,0.0020165156077112507,0.05550396672729494,0.0282813980025047,0.14413764564422774
4,"(0.01, 0.01)",bck,laftr-dp,"(0.5, 0.5)",0.9835069444444445,0.9771634615384616,0.9313568376068376,0.9815599364093767,0.9404143114978488,0.013566200497313994,0.002110507562670742,0.01202813060811716,0.01905467040201065,0.04507809465232862
4,"(0.01, 0.01)",bck,laftr-eqodd,"(0.5, 0.5)",0.9730235042735043,0.9761618589743589,0.9322248931623932,0.9863021336896939,0.9295785527948737,0.01274254722144359,0.002709885668763667,0.011371314084872526,0.01182328850360376,0.022428980419184685
4,"(0.01, 0.01)",bck,laftr-eqopp0,"(0.5, 0.5)",0.9877804487179488,0.9780982905982906,0.9229433760683761,0.9889341101359467,0.9507079546618303,0.0076095432344642075,0.0041069776481521296,0.01846030786367025,0.009452377973858965,0.027574064647305628
4,"(0.01, 0.01)",bck,laftr-eqopp1,"(0.5, 0.5)",0.9885817307692308,0.9746260683760685,0.9345619658119659,0.9881349621720679,0.9475939562321263,0.009516805705304299,0.0022336710314740695,0.004413117425709948,0.00362228466270075,0.011838642031327975
4,"(0.01, 0.99)",bck,laftr-dp,"(0.5, 0.5)",0.30108173076923084,0.6519097222222222,0.6456330128205129,0.3170094202088936,0.2845735478890749,0.10961541390200538,0.08213491171919152,0.028771632952881016,0.16375811057016085,0.05995478077842674
4,"(0.01, 0.99)",bck,laftr-eqodd,"(0.5, 0.5)",0.3016159188034187,0.6568509615384616,0.6417601495726496,0.3262247447085315,0.2761757123869491,0.061651980473353074,0.055267046321713226,0.010668517103334663,0.11042159324382207,0.022814460492529404
4,"(0.01, 0.99)",bck,laftr-eqopp0,"(0.5, 0.5)",0.2832532051282051,0.6507077991452991,0.6294070512820512,0.31424459919743986,0.2512538142447657,0.1651490467501535,0.13438152389570257,0.029151280854891572,0.26769030617575384,0.06144586565703321
4,"(0.01, 0.99)",bck,laftr-eqopp1,"(0.5, 0.5)",0.3362713675213675,0.6875667735042735,0.6452991452991453,0.38717819002244735,0.28376053975899374,0.030249281840243412,0.02660896916315555,0.007229137772376968,0.052508532671309734,0.014316464194760311
4,"(0.1, 0.1)",bck,laftr-dp,"(0.5, 0.5)",0.9925213675213675,0.9762286324786326,0.9474492521367521,0.9736514716202606,0.9796938473244952,0.005681244196422363,0.0009881576246627045,0.005013351854886691,0.019868289772415136,0.0028434683025270395
4,"(0.1, 0.1)",bck,laftr-eqodd,"(0.5, 0.5)",0.9892494658119658,0.9770966880341881,0.945713141025641,0.980375414372055,0.9790163956088972,0.014977670613998122,0.0030136976753196744,0.005928945747976228,0.01666186933565957,0.010766307065848132
4,"(0.1, 0.1)",bck,laftr-eqopp0,"(0.5, 0.5)",0.993389423076923,0.977363782051282,0.9463808760683761,0.9694356072120138,0.985247916274368,0.0071219506549004465,0.002403846153846048,0.0035289023134945684,0.02449913742138106,0.006814426827433448
4,"(0.1, 0.1)",bck,laftr-eqopp1,"(0.5, 0.5)",0.9945245726495727,0.9765625,0.9486511752136751,0.9751008505589146,0.9841640706126688,0.005353969360416925,0.0019109359002742945,0.0026600673460259183,0.010219421237864075,0.01970672250294056
4,"(0.1, 0.9)",bck,laftr-dp,"(0.5, 0.5)",0.8482238247863249,0.9429754273504273,0.8878205128205128,0.9091671384365204,0.7952090002411606,0.039766691239257,0.01924884522622797,0.025769815030769715,0.0409601753425553,0.045158912874235915
4,"(0.1, 0.9)",bck,laftr-eqodd,"(0.5, 0.5)",0.8466212606837606,0.935763888888889,0.892094017094017,0.8948174807219337,0.8056380346412159,0.03414882139133856,0.010417308699806423,0.014734568931842577,0.02564630687059726,0.03507396206362243
4,"(0.1, 0.9)",bck,laftr-eqopp0,"(0.5, 0.5)",0.8484909188034188,0.9430422008547009,0.8845486111111112,0.9081141085921617,0.7868112197985043,0.062254682371753974,0.012947174132603033,0.05100324433711505,0.027409310216451956,0.10633066755997204
4,"(0.1, 0.9)",bck,laftr-eqopp1,"(0.5, 0.5)",0.8558360042735043,0.9398370726495727,0.8963007478632479,0.9006103672023519,0.8094300353812153,0.018475517928639534,0.0028423873736368598,0.011959542855134656,0.009869662862303352,0.029158286832833773
4,"(0.5, 0.5)",bck,laftr-dp,"(0.5, 0.5)",0.9939236111111112,0.9732238247863249,0.9599358974358975,0.9911731184184984,0.9910726575774493,0.004013082051633825,0.0015035163260147155,0.0026950368684041832,0.011138127333109997,0.0037246806495936685
4,"(0.5, 0.5)",bck,laftr-dp,"(0.75, 0.25)",0.9863782051282052,0.9660790598290597,0.9531917735042735,0.985641863951769,0.9913251603056462,0.011409479860495132,0.006405037605833238,0.005716451582752317,0.010249200247617671,0.00590612880810691
4,"(0.5, 0.5)",bck,laftr-dp,"(0.9, 0.1)",0.9815705128205128,0.9405715811965812,0.9084535256410255,0.9889491942878292,0.9673827701300173,0.011933790872280896,0.002197446938021437,0.014035307736861747,0.004432621136441839,0.02092582014625191
4,"(0.5, 0.5)",bck,laftr-eqodd,"(0.5, 0.5)",0.9931891025641025,0.9743589743589745,0.9581330128205128,0.9853711814469509,0.983487830205405,0.00342307842360494,0.0006009615384616057,0.0045371601173502295,0.012660956919535398,0.009672372650538162
