clr_ratio,sensattr,arch,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.01, 0.01)",age,mlp,0.905885780885781,0.6628787878787878,0.8076923076923078,0.9665242165242165,0.7692307692307692
"(0.06, 0.36)",age,mlp,0.7802938186457232,0.6606334841628959,0.750367107195301,0.8568316087832532,0.6945668135095447
"(0.1, 0.1)",age,mlp,0.9559959907865189,0.7148148148148148,0.7673692427790787,0.985881216331073,0.901639344262295
"(0.33, 0.33)",age,mlp,0.9425956492088123,0.7286026797921794,0.7886211512717537,0.9938864707222295,0.8813922356091032
"(0.5, 0.5)",age,mlp,0.9663614353726038,0.7501837559720691,0.7988913122500909,0.9894071153613138,0.9165757906215921
"(0.5, 0.5)",sex,mlp,0.9227105570713885,0.7608286252354048,0.760622381807301,0.8997351440709601,0.9192100538599641
"(0.66, 0.33)",age,mlp,0.8476272866540507,0.7617283950617284,0.7364963503649635,0.8777344821908786,0.8253041362530413
