table_type,clr_ratio,sensattr,arch,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.01, 0.01)",age,laftr-eqopp0,0.8534382284382284,0.5606060606060606,0.7564102564102564,0.9736467236467236,0.7051282051282052,0.02166586415503648,0.017358241268772206,0.0200160192256359,0.014227196834357737,0.048396374585068846
4,"(0.01, 0.01)",age,laftr-eqopp1,0.8566433566433567,0.5606060606060607,0.7692307692307692,0.9707977207977209,0.717948717948718,0.005732026682082166,0.023655295448478837,0.009615384615384664,0.016037507477489596,0.01110288979210819
4,"(0.06, 0.36)",age,laftr-dp,0.8298150842851543,0.5965309200603318,0.7099853157121879,0.9272342314653553,0.7268722466960352,0.011159362639921469,0.015064090765790428,0.006358483140854903,0.005228743345596048,0.01920219798916595
4,"(0.06, 0.36)",age,laftr-eqodd,0.8303499644520634,0.5897435897435898,0.7048458149779736,0.9345763753713757,0.7209985315712188,0.012614739737484008,0.017279697190632833,0.0,0.004407572972921374,0.02034714605073573
4,"(0.06, 0.36)",age,laftr-eqopp0,0.8304695649862791,0.5904977375565611,0.7055800293685756,0.9301710890277635,0.7254038179148311,0.02262041734546525,0.01583710407239825,0.003364593021259766,0.0001419568329121539,0.044126223792413294
4,"(0.06, 0.36)",age,laftr-eqopp1,0.8275526408462403,0.5904977375565611,0.7099853157121879,0.9272342314653553,0.7224669603524229,0.00952042316875217,0.02362060296133607,0.004585167399705165,0.009072482120020074,0.020187558127558732
4,"(0.1, 0.1)",age,laftr-dp,0.9553493123620628,0.6625514403292181,0.7111631537861046,0.988512564637206,0.9125683060109289,0.01653757856986121,0.013598939622928699,0.007436595973168506,0.003908527240679783,0.023921238791638613
4,"(0.1, 0.1)",age,laftr-eqodd,0.9502202176154818,0.657201646090535,0.7131147540983607,0.981307439724595,0.9032006245120998,0.014605524748486243,0.012366238025775073,0.010004688226367173,0.0011967747614071876,0.027939937811355505
4,"(0.1, 0.1)",age,laftr-eqopp0,0.9506741453918138,0.6576131687242799,0.7142857142857143,0.983137765657134,0.9055425448868072,0.018547708821821052,0.003771667238646776,0.0023419203747072626,0.004694132323629234,0.03600266216268599
4,"(0.1, 0.1)",age,laftr-eqopp1,0.951191680882027,0.6584362139917695,0.7150663544106167,0.9803474358112033,0.9047619047619048,0.011313026887524643,0.014728831414134341,0.008943356157212836,0.002387833281379291,0.026940568191627365
