table_type,clr_ratio,sensattr,arch,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.01, 0.01)",age,ffvae,0.9102564102564102,0.6060606060606061,0.8076923076923078,0.9793447293447293,0.7628205128205128,0.07430755487363329,0.028597857709358902,0.05087983290508829,0.014227196834357785,0.12804477150921903
4,"(0.06, 0.36)",age,ffvae,0.8055760426841018,0.5324283559577677,0.7136563876651983,0.907488986784141,0.7165932452276064,0.12542462443074737,0.03733602954596249,0.023310584238454536,0.04037511625511749,0.17655986114238825
4,"(0.1, 0.1)",age,ffvae,0.9159809562359653,0.6666666666666666,0.730679156908665,0.9642332299953323,0.8813427010148321,0.044132080079447196,0.016144070161261743,0.020516879939034158,0.029188798950278403,0.09696606232126614
4,"(0.33, 0.33)",age,ffvae,0.9419514536131949,0.5942028985507246,0.7198125836680053,0.9835539980542455,0.8995983935742972,0.0700839759806567,0.09127631078327576,0.019548513345404864,0.019556292321134212,0.12243662015930101
4,"(0.5, 0.5)",age,ffvae,0.9411726396375059,0.6970782800441014,0.7437295528898581,0.9885550891193108,0.9029443838604143,0.0535310376480497,0.02364193939109326,0.02454107555172916,0.003815076106973852,0.05336552119135039
4,"(0.5, 0.5)",sex,ffvae,0.8682053778819139,0.660389202762084,0.727707959305805,0.9141546829727857,0.807899461400359,0.058614169107272164,0.08858400211029216,0.01629043397823594,0.015103178418219176,0.10155932225300505
4,"(0.66, 0.33)",age,ffvae,0.9915400558709561,0.6066666666666666,0.5655717761557177,0.9976638676984432,0.9846715328467154,0.008089956613036553,0.10226314264159664,0.046101598839917046,0.0032245075272082807,0.016977669123522627
