table_type,clr_ratio,sensattr,arch,g_y_ratio,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.001, 0.001)",bck,cfair,"(0.5, 0.5)",0.6595219017094017,0.9632745726495727,0.6022970085470086,0.9506332118903064,0.9286133602904497,0.28064656006214245,0.012864778183223386,0.1893274019758448,0.01047169591176788,0.05857439811117797
4,"(0.01, 0.01)",bck,cfair,"(0.5, 0.5)",0.7835202991452991,0.9579994658119658,0.7412526709401709,0.8739616642001478,0.7231473864921503,0.2591798580205563,0.010615727227286868,0.2037875388076606,0.1060555208251279,0.21806579081713276
4,"(0.01, 0.99)",bck,cfair,"(0.5, 0.5)",0.09421741452991439,0.5355902777777778,0.570579594017094,0.0859665061088734,0.13043483766816533,0.07834717682026902,0.0516424313550119,0.08017985448096558,0.10351568133132222,0.16456019846766756
4,"(0.1, 0.1)",bck,cfair,"(0.5, 0.5)",0.9623397435897436,0.9622061965811967,0.8889556623931624,0.965352951469186,0.9182069002729848,0.01820162931346225,0.012310071753219702,0.02755432744145418,0.037107314991238746,0.0464148607707125
4,"(0.1, 0.9)",bck,cfair,"(0.5, 0.5)",0.6538461538461539,0.852363782051282,0.7941372863247863,0.7298627612653128,0.6031448317327546,0.17015255489517686,0.041188157799890934,0.03710222161566525,0.08738496377237387,0.08379021396106005
4,"(0.5, 0.5)",bck,cfair,"(0.5, 0.5)",0.9807692307692307,0.9543936965811968,0.9337606837606837,0.9823606448027605,0.9914698015326353,0.026894474323112143,0.008043643973198655,0.003207214198323394,0.009213748348869292,0.007377490040552718
4,"(0.5, 0.5)",bck,cfair,"(0.75, 0.25)",0.9867120726495727,0.9459802350427351,0.9165998931623931,0.9805322375373177,0.9836129803801086,0.013136403613101809,0.003305794282715416,0.014501231301913086,0.013211512230624079,0.012397744631161618
4,"(0.5, 0.5)",bck,cfair,"(0.9, 0.1)",0.961204594017094,0.8754674145299145,0.8231169871794872,0.9371357047284551,0.9603379660371166,0.030640745204993682,0.06811525863416383,0.06394336200210421,0.07357115474855483,0.025817007487796206
4,"(0.5, 0.5)",color_gy,cfair,"(0.5, 0.5)",0.997397598874449,0.9504639829094065,0.950644493421492,0.9991441561636725,0.9971528748200932,0.003153326934414691,0.009082077252515613,0.009730048944322065,0.0014823650078639443,0.003897366966766976
4,"(0.5, 0.5)",color_gy,cfair,"(0.75, 0.25)",0.994591345936806,0.9419854462914747,0.9356842316169104,0.9991441561636725,0.9881460265232477,0.009368063638015874,0.007697996023980126,0.020310680661148793,0.0014823650078639443,0.02053168433330872
4,"(0.5, 0.5)",color_gy,cfair,"(0.9, 0.1)",0.994591345936806,0.8641431337205421,0.8781807253055499,0.9991441561636725,0.9881460265232477,0.00936806363801592,0.02600741986633204,0.016486893670343204,0.0014823650078639443,0.02053168433330872
